,confidences,frameStarts,frameStops,pitches,timeStarts,timeStops
0,0.14483481645584106,22784,33792,48.28635787963867,0.5166439909297053,0.7662585034013606
1,0.29566431045532227,33792,44800,134.1035919189453,0.7662585034013606,1.0158730158730158
2,0.3843541741371155,44800,55808,130.54513549804688,1.0158730158730158,1.2654875283446712
3,0.3718494176864624,55808,66816,122.64812469482422,1.2654875283446712,1.5151020408163265
4,0.16817116737365723,66816,77824,95.79988861083984,1.5151020408163265,1.7647165532879818
5,0.172704815864563,77824,89344,47.96843719482422,1.7647165532879818,2.0259410430839004
6,0.2511427402496338,121856,132864,81.18604278564453,2.7631746031746034,3.0127891156462585
7,0.36687666177749634,132864,143872,117.22579956054688,3.0127891156462585,3.2624036281179136
8,0.3545469641685486,143872,155136,105.2646255493164,3.2624036281179136,3.517823129251701
9,0.13570380210876465,155136,166144,93.07295227050781,3.517823129251701,3.767437641723356
10,0.17383599281311035,166144,177152,162.63999938964844,3.767437641723356,4.017052154195011
11,0.26602989435195923,177152,188160,92.34577941894531,4.017052154195011,4.266666666666667
12,0.16056978702545166,188160,199168,48.03255844116211,4.266666666666667,4.516281179138322
13,0.12504971027374268,199168,210176,47.970096588134766,4.516281179138322,4.765895691609978
14,0.20532876253128052,210176,221184,73.07833862304688,4.765895691609978,5.015510204081632
15,0.31028324365615845,221184,232192,75.33091735839844,5.015510204081632,5.265124716553288
16,0.28387486934661865,232192,243200,128.47064208984375,5.265124716553288,5.5147392290249435
17,0.22444260120391846,243200,254208,133.15774536132812,5.5147392290249435,5.764353741496599
18,0.23030000925064087,254208,265472,94.48975372314453,5.764353741496599,6.019773242630386
19,0.23409080505371094,309248,320512,134.71420288085938,7.012426303854875,7.267845804988662
20,0.2318611741065979,320512,331520,124.14066314697266,7.267845804988662,7.517460317460317
21,0.1895517110824585,331520,342528,96.16014862060547,7.517460317460317,7.767074829931973
22,0.2125210165977478,342528,353536,95.29684448242188,7.767074829931973,8.016689342403629
23,0.20653527975082397,353536,364544,47.90951919555664,8.016689342403629,8.266303854875284
24,0.28399568796157837,375552,386560,111.61128234863281,8.51591836734694,8.765532879818593
25,0.16820168495178223,408576,419584,108.31913757324219,9.264761904761905,9.51437641723356
26,0.19035744667053223,419584,430592,116.755615234375,9.51437641723356,9.763990929705216
27,0.421575665473938,430592,442112,110.28396606445312,9.763990929705216,10.025215419501134
28,0.14460474252700806,442112,463616,96.45115661621094,10.025215419501134,10.51283446712018
29,0.25767815113067627,485632,496896,97.65846252441406,11.012063492063492,11.267482993197278
30,0.2499883770942688,496896,507904,48.03997802734375,11.267482993197278,11.517097505668934
31,0.22534692287445068,507904,518912,131.63723754882812,11.517097505668934,11.76671201814059
32,0.339263916015625,518912,529920,118.01541900634766,11.76671201814059,12.016326530612245
33,0.20023185014724731,529920,540928,118.57367706298828,12.016326530612245,12.2659410430839
34,0.2527965307235718,551936,562944,129.1400909423828,12.515555555555556,12.765170068027212
35,0.15420836210250854,573952,584960,130.96168518066406,13.014784580498866,13.264399092970521
36,0.17615944147109985,584960,595968,53.615478515625,13.264399092970521,13.514013605442177
37,0.2997249364852905,606976,618496,50.76459884643555,13.763628117913832,14.02485260770975
38,0.20344281196594238,618496,640256,113.35163116455078,14.02485260770975,14.51827664399093
39,0.2443598508834839,640256,651264,81.21712493896484,14.51827664399093,14.767891156462586
40,0.34956449270248413,673280,684288,104.95719146728516,15.267120181405895,15.51673469387755
41,0.2281883955001831,695296,706304,137.14663696289062,15.766349206349206,16.015963718820863
42,0.253879189491272,706304,717312,85.77835083007812,16.015963718820863,16.265578231292515
43,0.3811566233634949,717312,728320,110.12071228027344,16.265578231292515,16.51519274376417
44,0.15781813859939575,728320,739328,129.59255981445312,16.51519274376417,16.764807256235827
45,0.46485280990600586,750336,761600,98.19754028320312,17.014421768707482,17.26984126984127
46,0.616265058517456,761600,772352,111.3084716796875,17.26984126984127,17.513650793650793
47,0.17693954706192017,772352,783360,147.67918395996094,17.513650793650793,17.76326530612245
48,0.1818975806236267,783360,787712,73.69807434082031,17.76326530612245,17.861950113378686
49,0.49364423751831055,787712,794880,5963.0068359375,17.861950113378686,18.024489795918367
50,0.5987440347671509,812800,814336,73.59745025634766,18.430839002267575,18.465668934240362
51,0.1768149733543396,814336,816896,145.547607421875,18.465668934240362,18.523718820861678
52,0.5452408790588379,818944,827904,276.2575378417969,18.57015873015873,18.773333333333333
53,0.5349564552307129,827904,834304,150.00259399414062,18.773333333333333,18.91845804988662
54,0.2562052607536316,834304,838656,4095.968505859375,18.91845804988662,19.017142857142858
55,0.3746110796928406,838656,849664,118.22958374023438,19.017142857142858,19.266757369614513
56,0.48140454292297363,849664,860672,102.85148620605469,19.266757369614513,19.51637188208617
57,0.15467393398284912,860672,871680,117.374755859375,19.51637188208617,19.765986394557824
58,0.4221804738044739,871680,882688,119.99380493164062,19.765986394557824,20.01560090702948
59,0.27333348989486694,904960,915968,124.22427368164062,20.520634920634922,20.770249433106574
60,0.5714827179908752,915968,926720,260.72869873046875,20.770249433106574,21.0140589569161
61,0.5862107276916504,926720,937984,262.1209716796875,21.0140589569161,21.269478458049885
62,0.2209431529045105,937984,948736,130.74562072753906,21.269478458049885,21.51328798185941
63,0.3661099672317505,948736,960000,133.12953186035156,21.51328798185941,21.768707482993197
64,0.5094558000564575,960000,971264,261.2095947265625,21.768707482993197,22.024126984126983
65,0.11186361312866211,971264,993024,79.72945404052734,22.024126984126983,22.517551020408163
66,0.25812309980392456,993024,1004032,3847.3857421875,22.517551020408163,22.76716553287982
